Product Name,Description,Category,Origin,Packaging,Carbon (kg),Water (L),Transport Mode,Animal-Based,Imported,Eco Score
Imported Bottled Water,"Glass bottle, no additives",Beverage,USA,TetraPak,0.71,9896,Air,False,True,65
Eco Lotion,"Gel-based, recyclable bottle",Personal Care,Portugal,Glass,7.78,3367,Air,False,True,64
Energy Drink,"TetraPak, added vitamins",Beverage,India,Plastic,9.9,4750,Ship,False,False,62
Local Beef Steak,"Mixed nuts, oats, wrapped in foil",Food,Brazil,Paper,24.13,11823,Truck,True,True,14
Eco Vegan Leather Wallet,"Plastic-free, eco-friendly frame",Accessories,Brazil,Compost,23.45,199,Air,False,True,39
Deodorant,"Biodegradable, compostable wrapper",Personal Care,Brazil,Plastic,16.91,5186,Ship,False,True,42
Granola Bar,"Frozen, plastic wrap, processed",Food,Brazil,Plastic,13.85,2884,Ship,False,True,53
Imported Recycled Sunglasses,"Recycled material, cloth lining",Accessories,USA,Glass,17.35,8276,Air,False,True,35
Local Vegan Leather Wallet,"Made of cork, shipped from Europe",Accessories,Portugal,Plastic,3.11,6880,Air,False,True,56
Bamboo Toothbrush,"Sulfate-free, 200ml plastic bottle",Personal Care,Brazil,Paper,27.7,18002,Ship,False,True,4
Organic Cork Bag,"Reusable, printed cotton",Accessories,USA,Foil,26.4,16548,Truck,False,True,10
Imported Shampoo,"Biodegradable, compostable wrapper",Personal Care,Germany,TetraPak,2.53,11043,Air,False,True,58
Organic Cold Brew Coffee,"Aluminum can, roasted beans",Beverage,Brazil,Glass,14.83,18611,Truck,False,True,29
Shampoo,"Biodegradable, compostable wrapper",Personal Care,China,Foil,21.58,2619,Truck,False,True,47
Organic Vegan Leather Wallet,"Made of cork, shipped from Europe",Accessories,Germany,None,10.08,16327,Air,False,True,33
Organic Vegan Leather Wallet,"Plastic-free, eco-friendly frame",Accessories,Germany,Paper,26.85,1368,Air,False,True,30
Organic Paneer,"Vegan, packaged in TetraPak",Food,USA,Cardboard,12.13,14729,Truck,True,True,32
Bottled Water,"Glass bottle, no additives",Beverage,Brazil,Foil,12.8,12217,Truck,False,True,46
Organic Energy Drink,"Plastic bottle, filtered water",Beverage,China,Foil,6.26,19476,Air,False,True,35
Imported Organic Juice,"Glass bottle, no additives",Beverage,Germany,Compost,2.25,16973,Air,False,True,48
Organic Shampoo,"Biodegradable, compostable wrapper",Personal Care,Brazil,Foil,22.82,8343,Air,False,True,24
Imported Organic Juice,"Plastic bottle, filtered water",Beverage,Portugal,TetraPak,11.64,6092,Air,False,True,50
Imported Bamboo Toothbrush,"Fragrance-free, paper tube",Personal Care,India,Foil,14.83,4351,Ship,False,False,63
Cork Bag,"Recycled material, cloth lining",Accessories,China,TetraPak,28.15,1836,Air,False,True,26
Bottled Water,"TetraPak, added vitamins",Beverage,Portugal,Glass,25.46,10657,Truck,False,True,24
Imported Organic Cotton Tote,"Recycled material, cloth lining",Accessories,Portugal,None,17.65,4884,Truck,False,True,51
Local Deodorant,"Fragrance-free, paper tube",Personal Care,Germany,Glass,28.7,7731,Truck,False,True,23
Local Lotion,"Sulfate-free, 200ml plastic bottle",Personal Care,Brazil,Compost,23.62,1871,Ship,False,True,45
Imported Shampoo,"Fragrance-free, paper tube",Personal Care,India,Plastic,29.33,131,Air,False,False,22
Organic Chicken Nuggets,"Farm-grown, no packaging",Food,China,None,9.62,1149,Ship,True,True,64
Imported Energy Drink,"TetraPak, added vitamins",Beverage,China,Plastic,26.02,11035,Ship,False,True,11
Eco Organic Juice,"TetraPak, added vitamins",Beverage,Brazil,None,7.18,4542,Ship,False,True,72
Imported Bamboo Toothbrush,"Fragrance-free, paper tube",Personal Care,India,Cardboard,7.74,10711,Ship,False,False,64
Cold Brew Coffee,"Plastic bottle, filtered water",Beverage,Portugal,Compost,21.16,3462,Truck,False,True,47
Organic Cold Brew Coffee,"Aluminum can, roasted beans",Beverage,China,TetraPak,9.72,6473,Air,False,True,54
Imported Recycled Sunglasses,"Reusable, printed cotton",Accessories,USA,Foil,17.37,7816,Ship,False,True,46
Eco Deodorant,"Biodegradable, compostable wrapper",Personal Care,Germany,TetraPak,26.53,15923,Ship,False,True,11
Organic Beef Steak,"Vegan, packaged in TetraPak",Food,China,Cardboard,8.5,19105,Air,True,True,20
Imported Beef Steak,"Organic, non-GMO, paper-wrapped",Food,Brazil,TetraPak,29.13,13453,Ship,True,True,1
Organic Deodorant,"Plastic case, roll-on type",Personal Care,India,Cardboard,2.03,535,Air,False,False,85
Imported Cork Bag,"Recycled material, cloth lining",Accessories,China,Paper,12.86,2156,Ship,False,True,66
Imported Cold Brew Coffee,"Glass bottle, no additives",Beverage,USA,Glass,24.14,4269,Truck,False,True,39
Eco Bamboo Toothbrush,"Sulfate-free, 200ml plastic bottle",Personal Care,India,Compost,13.27,6058,Ship,False,False,62
Organic Beef Steak,"Organic, non-GMO, paper-wrapped",Food,India,Compost,20.31,17497,Truck,True,False,16
Recycled Sunglasses,"Recycled material, cloth lining",Accessories,Germany,None,17.93,2907,Air,False,True,45
Local Vegan Leather Wallet,"Made of cork, shipped from Europe",Accessories,India,TetraPak,26.38,15554,Truck,False,False,17
Eco Cork Bag,"Made of cork, shipped from Europe",Accessories,Germany,Cardboard,4.89,9154,Truck,False,True,68
Organic Juice,"TetraPak, added vitamins",Beverage,China,TetraPak,29.6,16016,Ship,False,True,4
Eco Lotion,"Plastic case, roll-on type",Personal Care,Brazil,Cardboard,2.9,7336,Ship,False,True,76
Imported Cold Brew Coffee,"Glass bottle, no additives",Beverage,USA,Cardboard,6.66,16225,Truck,False,True,50
Eco Lotion,"Plastic case, roll-on type",Personal Care,India,Foil,11.31,9498,Air,False,False,50
Organic Vegan Leather Wallet,"Made of cork, shipped from Europe",Accessories,USA,Plastic,17.43,11977,Air,False,True,18
Imported Bottled Water,"TetraPak, added vitamins",Beverage,USA,Plastic,22.65,19056,Air,False,True,0
Organic Organic Juice,"Aluminum can, roasted beans",Beverage,India,Compost,20.4,3557,Air,False,False,43
Paneer,"Farm-grown, no packaging",Food,Portugal,TetraPak,13.11,12662,Air,True,True,24
Eco Cork Bag,"Plastic-free, eco-friendly frame",Accessories,Brazil,TetraPak,22.76,10044,Ship,False,True,30
Local Bamboo Toothbrush,"Gel-based, recyclable bottle",Personal Care,India,Paper,7.1,6662,Air,False,False,63
Local Energy Drink,"TetraPak, added vitamins",Beverage,Portugal,Plastic,9.58,18780,Air,False,True,19
Organic Cork Bag,"Plastic-free, eco-friendly frame",Accessories,India,Foil,10.68,11702,Ship,False,False,56
Local Bamboo Toothbrush,"Plastic case, roll-on type",Personal Care,Germany,Cardboard,16.4,7142,Ship,False,True,49
Imported Chicken Nuggets,"Mixed nuts, oats, wrapped in foil",Food,India,Cardboard,15.1,2900,Air,True,False,45
Chicken Nuggets,"Plastic-wrapped, imported, grass-fed",Food,India,Plastic,17.21,6268,Truck,True,False,34
Eco Energy Drink,"Glass bottle, no additives",Beverage,India,Compost,21.17,735,Ship,False,False,57
Imported Organic Juice,"Glass bottle, no additives",Beverage,China,Glass,6.75,9533,Truck,False,True,63
Local Tofu,"Frozen, plastic wrap, processed",Food,Germany,None,1.17,6232,Truck,False,True,81
Imported Body Wash,"Biodegradable, compostable wrapper",Personal Care,Germany,Plastic,19.34,1595,Truck,False,True,44
Organic Recycled Sunglasses,"Reusable, printed cotton",Accessories,USA,Cardboard,6.87,10295,Truck,False,True,62
Eco Vegan Leather Wallet,"Recycled material, cloth lining",Accessories,USA,Foil,10.77,8485,Air,False,True,48
Local Apples,"Organic, non-GMO, paper-wrapped",Food,India,Plastic,2.22,3310,Ship,False,False,80
Imported Recycled Sunglasses,"Recycled material, cloth lining",Accessories,Portugal,Foil,15.92,11393,Truck,False,True,42
Eco Cork Bag,"Reusable, printed cotton",Accessories,USA,Cardboard,12.68,14346,Ship,False,True,42
Organic Lotion,"Biodegradable, compostable wrapper",Personal Care,India,TetraPak,0.27,3801,Truck,False,False,93
Imported Organic Cotton Tote,"Made of cork, shipped from Europe",Accessories,China,Plastic,25.8,9581,Truck,False,True,15
Local Bamboo Toothbrush,"Gel-based, recyclable bottle",Personal Care,Germany,Compost,6.64,1642,Truck,False,True,79
Imported Beef Steak,"Farm-grown, no packaging",Food,Germany,TetraPak,6.66,1144,Air,True,True,60
Shampoo,"Gel-based, recyclable bottle",Personal Care,India,Plastic,13.58,8469,Truck,False,False,47
Recycled Sunglasses,"Reusable, printed cotton",Accessories,India,Compost,9.85,2296,Truck,False,False,77
Recycled Sunglasses,"Reusable, printed cotton",Accessories,Germany,Paper,18.96,10831,Truck,False,True,37
Recycled Sunglasses,"Made of cork, shipped from Europe",Accessories,China,TetraPak,5.72,3643,Air,False,True,67
Local Chicken Nuggets,"Fresh, dairy-based, paper-packed",Food,Brazil,Glass,23.66,6036,Truck,True,True,26
Local Body Wash,"Gel-based, recyclable bottle",Personal Care,Portugal,None,9.32,17792,Air,False,True,32
Imported Chicken Nuggets,"Farm-grown, no packaging",Food,Germany,Foil,23.7,19411,Ship,True,True,0
Eco Cold Brew Coffee,"Glass bottle, no additives",Beverage,USA,Cardboard,15.92,11338,Ship,False,True,42
Eco Almond Milk,"Organic, non-GMO, paper-wrapped",Food,USA,Paper,6.89,9340,Truck,True,True,54
Organic Organic Juice,"Aluminum can, roasted beans",Beverage,Germany,Cardboard,21.97,19715,Truck,False,True,13
Eco Beef Steak,"Organic, non-GMO, paper-wrapped",Food,Portugal,TetraPak,8.66,18407,Ship,True,True,32
Imported Local Apples,"Mixed nuts, oats, wrapped in foil",Food,China,Compost,11.4,14904,Truck,False,True,44
Eco Vegan Leather Wallet,"Reusable, printed cotton",Accessories,Brazil,Plastic,13.91,10962,Truck,False,True,37
Organic Energy Drink,"Aluminum can, roasted beans",Beverage,Germany,Cardboard,11.16,2316,Truck,False,True,69
Body Wash,"Fragrance-free, paper tube",Personal Care,Portugal,None,22.08,11368,Air,False,True,19
Bamboo Toothbrush,"Sulfate-free, 200ml plastic bottle",Personal Care,India,None,20.26,3014,Truck,False,False,54
Body Wash,"Biodegradable, compostable wrapper",Personal Care,USA,Cardboard,21.4,12060,Truck,False,True,29
Imported Chicken Nuggets,"Vegan, packaged in TetraPak",Food,China,Cardboard,27.2,3595,Ship,True,True,24
Imported Recycled Sunglasses,"Made of cork, shipped from Europe",Accessories,USA,Compost,20.94,2373,Air,False,True,40
Imported Organic Cotton Tote,"Reusable, printed cotton",Accessories,Portugal,Paper,21.58,13400,Ship,False,True,26
Chicken Nuggets,"Organic, non-GMO, paper-wrapped",Food,China,TetraPak,19.74,16635,Ship,True,True,13
Organic Cork Bag,"Reusable, printed cotton",Accessories,India,Glass,21.7,8176,Air,False,False,31
Local Deodorant,"Biodegradable, compostable wrapper",Personal Care,Portugal,Cardboard,14.57,17797,Ship,False,True,31
Energy Drink,"Plastic bottle, filtered water",Beverage,India,Compost,17.09,11644,Air,False,False,33
Eco Bamboo Toothbrush,"Fragrance-free, paper tube",Personal Care,USA,TetraPak,12.19,2669,Ship,False,True,66
Eco Bamboo Toothbrush,"Fragrance-free, paper tube",Personal Care,Germany,Cardboard,13.27,13074,Air,False,True,33
Organic Granola Bar,"Vegan, packaged in TetraPak",Food,Germany,None,28.53,19874,Ship,False,True,0
Local Organic Cotton Tote,"Plastic-free, eco-friendly frame",Accessories,India,TetraPak,18.07,1916,Truck,False,False,61
Imported Energy Drink,"TetraPak, added vitamins",Beverage,Portugal,Glass,15.7,260,Air,False,True,54
Imported Organic Juice,"TetraPak, added vitamins",Beverage,USA,Paper,3.99,3143,Air,False,True,72
Organic Chicken Nuggets,"Vegan, packaged in TetraPak",Food,India,Plastic,15.3,10241,Truck,True,False,30
Local Cold Brew Coffee,"Glass bottle, no additives",Beverage,India,Paper,5.53,19533,Air,False,False,40
Local Bottled Water,"Plastic bottle, filtered water",Beverage,India,Compost,4.3,15791,Ship,False,False,61
Imported Cold Brew Coffee,"Plastic bottle, filtered water",Beverage,Brazil,Paper,7.49,6085,Ship,False,True,69
Local Organic Juice,"Plastic bottle, filtered water",Beverage,China,TetraPak,13.18,1298,Truck,False,True,67
Imported Beef Steak,"Frozen, plastic wrap, processed",Food,China,TetraPak,13.2,4541,Air,True,True,40
Beef Steak,"Plastic-wrapped, imported, grass-fed",Food,Germany,Compost,6.43,14164,Air,True,True,35
Eco Recycled Sunglasses,"Plastic-free, eco-friendly frame",Accessories,India,Compost,23.56,6948,Air,False,False,30
Cork Bag,"Recycled material, cloth lining",Accessories,USA,Foil,1.87,9796,Air,False,True,63
Local Bamboo Toothbrush,"Sulfate-free, 200ml plastic bottle",Personal Care,Brazil,Plastic,0.88,15298,Truck,False,True,54
Lotion,"Biodegradable, compostable wrapper",Personal Care,USA,Compost,8.76,19178,Air,False,True,30
Imported Granola Bar,"Fresh, dairy-based, paper-packed",Food,Brazil,Plastic,24.68,10327,Truck,False,True,16
Imported Organic Cotton Tote,"Recycled material, cloth lining",Accessories,China,Compost,11.86,12443,Ship,False,True,48
Organic Shampoo,"Fragrance-free, paper tube",Personal Care,Portugal,None,16.14,14035,Air,False,True,25
Eco Recycled Sunglasses,"Made of cork, shipped from Europe",Accessories,China,Cardboard,29.19,6364,Ship,False,True,25
Eco Paneer,"Organic, non-GMO, paper-wrapped",Food,Brazil,Foil,18.09,8772,Air,True,True,22
Organic Cotton Tote,"Made of cork, shipped from Europe",Accessories,China,Compost,2.99,17109,Truck,False,True,56
Local Beef Steak,"Plastic-wrapped, imported, grass-fed",Food,India,Plastic,8.26,10736,Ship,True,False,43
Organic Organic Cotton Tote,"Reusable, printed cotton",Accessories,Germany,Foil,29.28,8191,Ship,False,True,21
Imported Shampoo,"Sulfate-free, 200ml plastic bottle",Personal Care,USA,Compost,16.05,7435,Ship,False,True,49
Local Organic Cotton Tote,"Reusable, printed cotton",Accessories,Portugal,Paper,17.93,16244,Truck,False,True,28
Eco Chicken Nuggets,"Plastic-wrapped, imported, grass-fed",Food,USA,Compost,11.25,100,Truck,True,True,63
Organic Organic Juice,"Aluminum can, roasted beans",Beverage,India,Cardboard,0.76,16533,Air,False,False,56
Deodorant,"Plastic case, roll-on type",Personal Care,Brazil,Foil,24.73,17327,Air,False,True,2
Local Almond Milk,"Vegan, packaged in TetraPak",Food,Portugal,Foil,6.98,1308,Truck,True,True,70
Imported Organic Juice,"TetraPak, added vitamins",Beverage,India,Plastic,10.97,10265,Truck,False,False,49
Local Beef Steak,"Organic, non-GMO, paper-wrapped",Food,Germany,Cardboard,16.26,5782,Truck,True,True,42
Organic Body Wash,"Biodegradable, compostable wrapper",Personal Care,USA,Paper,3.72,15674,Ship,False,True,57
Organic Lotion,"Gel-based, recyclable bottle",Personal Care,India,Paper,28.69,17983,Truck,False,False,8
Local Lotion,"Sulfate-free, 200ml plastic bottle",Personal Care,USA,TetraPak,2.77,9592,Air,False,True,61
Organic Cold Brew Coffee,"Glass bottle, no additives",Beverage,India,Paper,5.41,7459,Ship,False,False,76
Organic Deodorant,"Sulfate-free, 200ml plastic bottle",Personal Care,India,TetraPak,4.94,5831,Air,False,False,70
Organic Lotion,"Plastic case, roll-on type",Personal Care,Brazil,Paper,18.99,18736,Air,False,True,11
Eco Organic Juice,"Glass bottle, no additives",Beverage,Portugal,Foil,26.82,701,Truck,False,True,41
Vegan Leather Wallet,"Made of cork, shipped from Europe",Accessories,China,Paper,28.38,18115,Air,False,True,0
Imported Bamboo Toothbrush,"Biodegradable, compostable wrapper",Personal Care,India,Cardboard,16.78,14113,Truck,False,False,39
Local Chicken Nuggets,"Organic, non-GMO, paper-wrapped",Food,Portugal,Compost,27.45,11583,Air,True,True,0
Imported Recycled Sunglasses,"Reusable, printed cotton",Accessories,China,Plastic,24.47,8967,Ship,False,True,20
Local Organic Cotton Tote,"Reusable, printed cotton",Accessories,India,TetraPak,15.35,4489,Ship,False,False,62
Local Energy Drink,"Glass bottle, no additives",Beverage,Brazil,Cardboard,29.67,2151,Ship,False,True,32
Local Organic Juice,"TetraPak, added vitamins",Beverage,Germany,Compost,20.73,7059,Truck,False,True,40
Local Bottled Water,"Aluminum can, roasted beans",Beverage,Germany,Foil,27.73,19561,Truck,False,True,1
Imported Chicken Nuggets,"Frozen, plastic wrap, processed",Food,Portugal,Paper,28.66,1534,Ship,True,True,25
Local Bottled Water,"Glass bottle, no additives",Beverage,Portugal,Plastic,27.9,3961,Truck,False,True,23
Organic Vegan Leather Wallet,"Reusable, printed cotton",Accessories,USA,Foil,15.26,4506,Air,False,True,46
Organic Juice,"Plastic bottle, filtered water",Beverage,India,Glass,18.9,5975,Truck,False,False,52
Chicken Nuggets,"Fresh, dairy-based, paper-packed",Food,Portugal,Paper,13.99,1810,Ship,True,True,55
Tofu,"Organic, non-GMO, paper-wrapped",Food,USA,Glass,19.64,17333,Ship,False,True,22
Imported Bamboo Toothbrush,"Sulfate-free, 200ml plastic bottle",Personal Care,Germany,Compost,6.0,1304,Air,False,True,71
Imported Organic Juice,"Glass bottle, no additives",Beverage,China,Plastic,20.13,15000,Ship,False,True,15
Cork Bag,"Reusable, printed cotton",Accessories,USA,Glass,17.7,6400,Ship,False,True,48
Organic Cork Bag,"Made of cork, shipped from Europe",Accessories,Germany,TetraPak,5.73,19758,Ship,False,True,45
Organic Organic Juice,"Glass bottle, no additives",Beverage,China,Glass,18.67,548,Ship,False,True,57
Imported Bottled Water,"TetraPak, added vitamins",Beverage,China,Foil,7.01,3500,Truck,False,True,74
Almond Milk,"Mixed nuts, oats, wrapped in foil",Food,Portugal,Paper,2.94,8916,Truck,True,True,63
Organic Bamboo Toothbrush,"Gel-based, recyclable bottle",Personal Care,Brazil,Cardboard,0.98,10041,Truck,False,True,74
Imported Vegan Leather Wallet,"Recycled material, cloth lining",Accessories,China,Glass,8.23,5710,Air,False,True,58
Beef Steak,"Fresh, dairy-based, paper-packed",Food,Germany,Compost,15.33,19293,Air,True,True,7
Organic Deodorant,"Sulfate-free, 200ml plastic bottle",Personal Care,Germany,Cardboard,20.27,4248,Air,False,True,37
Eco Granola Bar,"Vegan, packaged in TetraPak",Food,China,Paper,21.39,10830,Air,False,True,22
Vegan Leather Wallet,"Plastic-free, eco-friendly frame",Accessories,Germany,Plastic,15.19,3683,Truck,False,True,48
Eco Deodorant,"Gel-based, recyclable bottle",Personal Care,Brazil,Glass,17.2,6239,Truck,False,True,49
Imported Energy Drink,"Aluminum can, roasted beans",Beverage,China,Compost,22.64,2203,Truck,False,True,46
Imported Paneer,"Plastic-wrapped, imported, grass-fed",Food,USA,Paper,1.48,7768,Ship,True,True,68
Body Wash,"Biodegradable, compostable wrapper",Personal Care,Germany,Paper,19.6,1387,Truck,False,True,54
Cork Bag,"Recycled material, cloth lining",Accessories,Germany,Foil,7.3,8739,Air,False,True,54
Organic Deodorant,"Gel-based, recyclable bottle",Personal Care,Portugal,None,5.17,9243,Ship,False,True,67
Imported Lotion,"Sulfate-free, 200ml plastic bottle",Personal Care,Portugal,Foil,16.17,14378,Ship,False,True,35
Local Bamboo Toothbrush,"Gel-based, recyclable bottle",Personal Care,China,Compost,21.11,9066,Truck,False,True,35
Organic Vegan Leather Wallet,"Made of cork, shipped from Europe",Accessories,India,Glass,6.74,13945,Ship,False,False,60
Eco Lotion,"Plastic case, roll-on type",Personal Care,Brazil,TetraPak,1.11,13801,Air,False,True,56
Eco Bottled Water,"Glass bottle, no additives",Beverage,India,Glass,25.67,16988,Air,False,False,6
Local Energy Drink,"Plastic bottle, filtered water",Beverage,Portugal,Glass,13.81,9422,Ship,False,True,50
Organic Bamboo Toothbrush,"Biodegradable, compostable wrapper",Personal Care,India,Paper,24.46,3200,Ship,False,False,46
Imported Deodorant,"Fragrance-free, paper tube",Personal Care,USA,Compost,28.38,17041,Truck,False,True,5
Imported Cork Bag,"Made of cork, shipped from Europe",Accessories,India,Compost,4.21,17454,Air,False,False,48
Organic Cork Bag,"Made of cork, shipped from Europe",Accessories,Germany,Compost,11.71,1078,Air,False,True,60
Bottled Water,"TetraPak, added vitamins",Beverage,China,Paper,5.12,13898,Truck,False,True,58
Organic Cold Brew Coffee,"Plastic bottle, filtered water",Beverage,China,None,6.59,13103,Ship,False,True,56
Imported Local Apples,"Frozen, plastic wrap, processed",Food,USA,None,14.78,13361,Air,False,True,30
Organic Cork Bag,"Recycled material, cloth lining",Accessories,India,Foil,29.34,12359,Truck,False,False,18
Eco Local Apples,"Frozen, plastic wrap, processed",Food,India,Plastic,0.86,6054,Truck,False,False,77
Organic Cork Bag,"Reusable, printed cotton",Accessories,India,Paper,4.92,7072,Truck,False,False,77
Local Lotion,"Plastic case, roll-on type",Personal Care,Brazil,Compost,29.76,354,Truck,False,True,36
Bamboo Toothbrush,"Biodegradable, compostable wrapper",Personal Care,Portugal,Compost,22.66,5446,Ship,False,True,40
Imported Shampoo,"Fragrance-free, paper tube",Personal Care,India,Paper,16.9,1583,Truck,False,False,64
Imported Bottled Water,"Glass bottle, no additives",Beverage,India,None,16.35,19051,Truck,False,False,30
Eco Bottled Water,"Glass bottle, no additives",Beverage,Germany,Paper,23.05,6767,Truck,False,True,36
Organic Almond Milk,"Vegan, packaged in TetraPak",Food,China,Plastic,5.36,5227,Truck,True,True,55
Local Organic Cotton Tote,"Reusable, printed cotton",Accessories,Brazil,Paper,17.7,9671,Air,False,True,31
Organic Body Wash,"Plastic case, roll-on type",Personal Care,China,Plastic,16.33,5029,Truck,False,True,43
Organic Recycled Sunglasses,"Plastic-free, eco-friendly frame",Accessories,India,TetraPak,11.37,12384,Air,False,False,44
Imported Lotion,"Sulfate-free, 200ml plastic bottle",Personal Care,India,Glass,27.63,3243,Truck,False,False,39
Organic Cotton Tote,"Plastic-free, eco-friendly frame",Accessories,India,Foil,24.61,1929,Truck,False,False,48
Local Bamboo Toothbrush,"Plastic case, roll-on type",Personal Care,Portugal,Cardboard,3.16,19478,Ship,False,True,51
Local Organic Juice,"Aluminum can, roasted beans",Beverage,India,Cardboard,2.72,18128,Air,False,False,49
Organic Energy Drink,"Glass bottle, no additives",Beverage,China,None,23.16,10227,Air,False,True,19
Eco Energy Drink,"Aluminum can, roasted beans",Beverage,USA,Cardboard,16.83,14263,Truck,False,True,34
Imported Almond Milk,"Vegan, packaged in TetraPak",Food,USA,Glass,10.55,10148,Truck,True,True,44
Eco Organic Juice,"Glass bottle, no additives",Beverage,USA,Paper,23.65,16427,Ship,False,True,16
Local Tofu,"Plastic-wrapped, imported, grass-fed",Food,Germany,TetraPak,21.67,6574,Truck,False,True,39
Eco Chicken Nuggets,"Vegan, packaged in TetraPak",Food,Portugal,Plastic,29.07,2310,Ship,True,True,13
Shampoo,"Gel-based, recyclable bottle",Personal Care,Brazil,Foil,22.97,3786,Ship,False,True,43
Eco Vegan Leather Wallet,"Plastic-free, eco-friendly frame",Accessories,USA,TetraPak,26.5,7743,Air,False,True,17
Chicken Nuggets,"Organic, non-GMO, paper-wrapped",Food,USA,Foil,13.07,12497,Truck,True,True,35
Eco Recycled Sunglasses,"Plastic-free, eco-friendly frame",Accessories,Portugal,Compost,11.36,11589,Truck,False,True,50
Eco Organic Cotton Tote,"Recycled material, cloth lining",Accessories,Germany,Foil,4.5,7795,Ship,False,True,71
Eco Cork Bag,"Made of cork, shipped from Europe",Accessories,Portugal,Compost,13.57,6691,Ship,False,True,55
Organic Vegan Leather Wallet,"Plastic-free, eco-friendly frame",Accessories,Germany,Foil,5.8,5966,Truck,False,True,73
Organic Bamboo Toothbrush,"Biodegradable, compostable wrapper",Personal Care,Portugal,Paper,0.98,19189,Truck,False,True,56
Local Bottled Water,"Glass bottle, no additives",Beverage,Portugal,None,1.47,5966,Truck,False,True,82
Organic Lotion,"Fragrance-free, paper tube",Personal Care,Germany,Foil,7.19,7450,Air,False,True,57
Eco Chicken Nuggets,"Plastic-wrapped, imported, grass-fed",Food,Germany,Foil,23.23,7170,Ship,True,True,25
Local Energy Drink,"Aluminum can, roasted beans",Beverage,Brazil,Glass,17.67,2805,Truck,False,True,55
Eco Lotion,"Fragrance-free, paper tube",Personal Care,Brazil,None,1.37,3358,Air,False,True,77
Eco Vegan Leather Wallet,"Made of cork, shipped from Europe",Accessories,Portugal,None,10.52,222,Ship,False,True,74
Local Cold Brew Coffee,"Plastic bottle, filtered water",Beverage,Brazil,Foil,23.9,631,Truck,False,True,47
Eco Local Apples,"Plastic-wrapped, imported, grass-fed",Food,USA,Cardboard,13.9,7984,Truck,False,True,53
Eco Body Wash,"Biodegradable, compostable wrapper",Personal Care,USA,Compost,29.59,5887,Air,False,True,15
Bottled Water,"Plastic bottle, filtered water",Beverage,India,Glass,2.42,12602,Air,False,False,61
Organic Cotton Tote,"Made of cork, shipped from Europe",Accessories,India,Cardboard,12.19,17151,Truck,False,False,42
Imported Energy Drink,"Plastic bottle, filtered water",Beverage,USA,Paper,11.56,5585,Ship,False,True,61
Local Beef Steak,"Farm-grown, no packaging",Food,India,Paper,26.68,17598,Ship,True,False,2
Local Local Apples,"Mixed nuts, oats, wrapped in foil",Food,Brazil,Plastic,0.63,6323,Air,False,True,62
Imported Cold Brew Coffee,"Aluminum can, roasted beans",Beverage,USA,Compost,12.64,4649,Air,False,True,51
Vegan Leather Wallet,"Made of cork, shipped from Europe",Accessories,China,TetraPak,23.33,15059,Truck,False,True,19
Tofu,"Vegan, packaged in TetraPak",Food,Portugal,Paper,3.99,1915,Truck,False,True,85
Organic Organic Juice,"Aluminum can, roasted beans",Beverage,Portugal,Glass,13.53,6233,Ship,False,True,56
Organic Local Apples,"Organic, non-GMO, paper-wrapped",Food,Portugal,Compost,12.53,16844,Ship,False,True,37
